gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,atq,costat
001045,2010-03-31,2010,1,INDL,C,D,STD,AAL,USD,2010Q1,2010Q1,25525.0000,A
001045,2010-06-30,2010,2,INDL,C,D,STD,AAL,USD,2010Q2,2010Q2,25885.0000,A
001045,2010-09-30,2010,3,INDL,C,D,STD,AAL,USD,2010Q3,2010Q3,25357.0000,A
001045,2010-12-31,2010,4,INDL,C,D,STD,AAL,USD,2010Q4,2010Q4,25088.0000,A
001045,2011-03-31,2011,1,INDL,C,D,STD,AAL,USD,2011Q1,2011Q1,27113.0000,A
001045,2011-06-30,2011,2,INDL,C,D,STD,AAL,USD,2011Q2,2011Q2,25787.0000,A
001045,2011-09-30,2011,3,INDL,C,D,STD,AAL,USD,2011Q3,2011Q3,24719.0000,A
001045,2011-12-31,2011,4,INDL,C,D,STD,AAL,USD,2011Q4,2011Q4,23848.0000,A
001045,2012-03-31,2012,1,INDL,C,D,STD,AAL,USD,2012Q1,2012Q1,24511.0000,A
001045,2012-06-30,2012,2,INDL,C,D,STD,AAL,USD,2012Q2,2012Q2,24726.0000,A
001045,2012-09-30,2012,3,INDL,C,D,STD,AAL,USD,2012Q3,2012Q3,23927.0000,A
001045,2012-12-31,2012,4,INDL,C,D,STD,AAL,USD,2012Q4,2012Q4,23510.0000,A
001045,2013-03-31,2013,1,INDL,C,D,STD,AAL,USD,2013Q1,2013Q1,23852.0000,A
001045,2013-06-30,2013,2,INDL,C,D,STD,AAL,USD,2013Q2,2013Q2,26216.0000,A
001045,2013-09-30,2013,3,INDL,C,D,STD,AAL,USD,2013Q3,2013Q3,26780.0000,A
001045,2013-12-31,2013,4,INDL,C,D,STD,AAL,USD,2013Q4,2013Q4,42278.0000,A
001045,2014-03-31,2014,1,INDL,C,D,STD,AAL,USD,2014Q1,2014Q1,43737.0000,A
001045,2014-06-30,2014,2,INDL,C,D,STD,AAL,USD,2014Q2,2014Q2,44811.0000,A
001045,2014-09-30,2014,3,INDL,C,D,STD,AAL,USD,2014Q3,2014Q3,44173.0000,A
001045,2014-12-31,2014,4,INDL,C,D,STD,AAL,USD,2014Q4,2014Q4,43771.0000,A
001045,2015-03-31,2015,1,INDL,C,D,STD,AAL,USD,2015Q1,2015Q1,46754.0000,A
001045,2015-06-30,2015,2,INDL,C,D,STD,AAL,USD,2015Q2,2015Q2,47868.0000,A
001045,2015-09-30,2015,3,INDL,C,D,STD,AAL,USD,2015Q3,2015Q3,48715.0000,A
001045,2015-12-31,2015,4,INDL,C,D,STD,AAL,USD,2015Q4,2015Q4,48415.0000,A
001045,2016-03-31,2016,1,INDL,C,D,STD,AAL,USD,2016Q1,2016Q1,49909.0000,A
001045,2016-06-30,2016,2,INDL,C,D,STD,AAL,USD,2016Q2,2016Q2,51051.0000,A
001045,2016-09-30,2016,3,INDL,C,D,STD,AAL,USD,2016Q3,2016Q3,51108.0000,A
001045,2016-12-31,2016,4,INDL,C,D,STD,AAL,USD,2016Q4,2016Q4,51274.0000,A
001045,2017-03-31,2017,1,INDL,C,D,STD,AAL,USD,2017Q1,2017Q1,52627.0000,A
001045,2017-06-30,2017,2,INDL,C,D,STD,AAL,USD,2017Q2,2017Q2,53336.0000,A
001045,2017-09-30,2017,3,INDL,C,D,STD,AAL,USD,2017Q3,2017Q3,52401.0000,A
001045,2017-12-31,2017,4,INDL,C,D,STD,AAL,USD,2017Q4,2017Q4,51396.0000,A
001045,2018-03-31,2018,1,INDL,C,D,STD,AAL,USD,2018Q1,2018Q1,53280.0000,A
001045,2018-06-30,2018,2,INDL,C,D,STD,AAL,USD,2018Q2,2018Q2,52622.0000,A
001045,2018-09-30,2018,3,INDL,C,D,STD,AAL,USD,2018Q3,2018Q3,52635.0000,A
001045,2018-12-31,2018,4,INDL,C,D,STD,AAL,USD,2018Q4,2018Q4,60580.0000,A
001045,2019-03-31,2019,1,INDL,C,D,STD,AAL,USD,2019Q1,2019Q1,60787.0000,A
001045,2019-06-30,2019,2,INDL,C,D,STD,AAL,USD,2019Q2,2019Q2,61967.0000,A
001045,2019-09-30,2019,3,INDL,C,D,STD,AAL,USD,2019Q3,2019Q3,61175.0000,A
001045,2019-12-31,2019,4,INDL,C,D,STD,AAL,USD,2019Q4,2019Q4,59995.0000,A
001045,2020-03-31,2020,1,INDL,C,D,STD,AAL,USD,2020Q1,2020Q1,58580.0000,A
001045,2020-06-30,2020,2,INDL,C,D,STD,AAL,USD,2020Q2,2020Q2,64544.0000,A
001045,2020-09-30,2020,3,INDL,C,D,STD,AAL,USD,2020Q3,2020Q3,62773.0000,A
