date,permno,ticker
2000/1/31,38914,CEN
2000/1/31,19502,WAG
2000/1/31,14541,CHV
2000/1/31,25487,CD
2000/1/31,18016,HPC
2000/1/31,39490,APA
2000/1/31,86041,YNR
2000/1/31,10138,TROW
2000/1/31,13688,PCG
2000/1/31,49905,LIZ
2000/1/31,52476,EFX
2000/1/31,24221,CEG
2000/1/31,10353,ADPT
2000/1/31,51377,NSM
2000/1/31,10147,EMC
2000/1/31,17726,CCK
2000/1/31,41355,PH
2000/1/31,57817,JWN
2000/1/31,64629,MDR
2000/1/31,23114,CPL
2000/1/31,10225,FO
2000/1/31,42024,BCC
2000/1/31,59248,RKY
2000/1/31,82959,WLL
2000/1/31,10078,SUNW
2000/1/31,86496,CNXT
2000/1/31,64186,CI
2000/1/31,42906,HBAN
2000/1/31,62834,EC
2000/1/31,65138,ONE
2000/1/31,35238,PBY
2000/1/31,45356,TYC
2000/1/31,70536,SIAL
2000/1/31,62308,TMK
2000/1/31,26710,LTR
2000/1/31,56274,CAG
2000/1/31,15560,TAN
2000/1/31,82308,UPR
2000/1/31,10104,ORCL
2000/1/31,48653,HUM
2000/1/31,14322,S
2000/1/31,10145,HON
2000/1/31,12503,NAV
2000/1/31,24539,OAT
2000/1/31,75186,SCH
2000/1/31,70578,ECL
2000/1/31,50906,ADCT
2000/1/31,25081,CMA
2000/1/31,40416,AVP
2000/1/31,36127,FSR
2000/1/31,10107,MSFT
2000/1/31,50876,LLY
2000/1/31,77418,AOL
2000/1/31,87029,COC
2000/1/31,20853,UCM
2000/1/31,61065,TOY
2000/1/31,83601,WTHG
2000/1/31,52919,MER
2000/1/31,76149,SWY
2000/1/31,52038,SYY
2000/1/31,71686,SOTR
2000/1/31,14323,ANDW
2000/1/31,77157,OI
2000/1/31,10693,HRC
2000/1/31,68304,BSC
2000/1/31,10942,CMVT
2000/1/31,23931,NSP
2000/1/31,26518,BOL
2000/1/31,85926,SEE
2000/1/31,26075,EFU
2000/1/31,83440,AFS
2000/1/31,19895,MEA
2000/1/31,60599,CTL
2000/1/31,19692,ACK
2000/1/31,59192,CB
2000/1/31,10401,T
2000/1/31,13821,PGL
2000/1/31,82598,NTAP
2000/1/31,75789,FRE
2000/1/31,46674,GPC
2000/1/31,42534,JCI
2000/1/31,70519,C
2000/1/31,49656,BK
2000/1/31,75510,ADBE
2000/1/31,20204,CR
2000/1/31,27959,DUK
2000/1/31,26403,DIS
2000/1/31,59440,SAFC
2000/1/31,25953,DOV
2000/1/31,90609,NOVL
2000/1/31,40539,TJX
2000/1/31,30382,DG
2000/1/31,26438,PRD
2000/1/31,12319,HM
2000/1/31,18921,RLM
2000/1/31,76076,CSCO
2000/1/31,24563,TXU
2000/1/31,64311,NSC
2000/1/31,61663,TOS
2000/1/31,23077,HNZ
2000/1/31,59010,GPS
2000/1/31,48397,AGC
2000/1/31,59459,SPC
2000/1/31,23317,ENE
2000/1/31,57904,AFL
2000/1/31,58990,DJ
2000/1/31,35044,RGBK
2000/1/31,18382,MTC
2000/1/31,32379,GLK
2000/1/31,13119,MYG
2000/1/31,14008,AMGN
2000/1/31,17750,KMB
2000/1/31,11042,WCOM
2000/1/31,21776,PE
2000/1/31,20220,BDK
2000/1/31,22840,SLE
2000/1/31,14593,AAPL
2000/1/31,46886,KLAC
2000/1/31,48485,JP
2000/1/31,70033,HDI
2000/1/31,47941,GCI
2000/1/31,27983,XRX
2000/1/31,50227,BNI
2000/1/31,79237,RIG
2000/1/31,39917,WY
2000/1/31,40483,TWX
2000/1/31,24264,AL
2000/1/31,50200,WB
2000/1/31,35051,PLL
2000/1/31,80470,QTRN
2000/1/31,46850,AET
2000/1/31,19393,BMY
2000/1/31,23309,HLT
2000/1/31,85073,PVN
2000/1/31,42200,PKI
2000/1/31,82686,CTXS
2000/1/31,22066,NSI
2000/1/31,65883,BLS
2000/1/31,53479,GDW
2000/1/31,11955,WMI
2000/1/31,76171,COL
2000/1/31,61621,PAYX
2000/1/31,65875,BEL
2000/1/31,51369,TER
2000/1/31,81193,TMC
2000/1/31,24046,CCU
2000/1/31,24272,ASH
2000/1/31,19166,FMC
2000/1/31,43449,MCD
2000/1/31,68591,STJ
2000/1/31,49154,TGT
2000/1/31,15720,EIX
2000/1/31,21020,AMR
2000/1/31,78263,UPC
2000/1/31,24985,AEE
2000/1/31,81655,DRI
2000/1/31,52337,THC
2000/1/31,20482,ABT
2000/1/31,60206,SNA
2000/1/31,21004,GTE
2000/1/31,52978,HAS
2000/1/31,46877,BCR
2000/1/31,60506,PCAR
2000/1/31,12511,MKG
2000/1/31,14795,TKR
2000/1/31,13100,MAY
2000/1/31,78139,CPWR
2000/1/31,27991,PNW
2000/1/31,38893,CGP
2000/1/31,85914,BBY
2000/1/31,24010,ETR
2000/1/31,48071,JPM
2000/1/31,77659,BBBY
2000/1/31,75175,MBI
2000/1/31,60986,NWL
2000/1/31,25320,CPB
2000/1/31,71563,BBT
2000/1/31,22680,MZ
2000/1/31,86326,GBLX
2000/1/31,40272,IFF
2000/1/31,39087,FON
2000/1/31,77546,FDC
2000/1/31,23990,ROH
2000/1/31,61583,FJ
2000/1/31,23473,CINF
2000/1/31,18163,PG
2000/1/31,62770,ASO
2000/1/31,63060,WEN
2000/1/31,45495,RDC
2000/1/31,70332,APC
2000/1/31,85348,YUM
2000/1/31,54463,PWJ
2000/1/31,68347,CPQ
2000/1/31,80599,LEH
2000/1/31,88388,UMG
2000/1/31,64282,LTD
2000/1/31,23819,HAL
2000/1/31,49015,LNC
2000/1/31,39642,BDX
2000/1/31,76557,KRB
2000/1/31,14891,UCL
2000/1/31,48506,DNB
2000/1/31,76201,XLNX
2000/1/31,56223,LPX
2000/1/31,49744,PCH
2000/1/31,75912,PMTC
2000/1/31,18403,JCP
2000/1/31,15579,TXN
2000/1/31,56232,NCC
2000/1/31,27828,HWP
2000/1/31,25785,F
2000/1/31,75573,ODP
2000/1/31,19916,VO
2000/1/31,10890,UIS
2000/1/31,28484,AHC
2000/1/31,12079,GM
2000/1/31,80080,EMN
2000/1/31,52695,GWW
2000/1/31,24766,NOC
2000/1/31,57568,BLL
2000/1/31,10989,BFO
2000/1/31,38156,WMB
2000/1/31,13901,MO
2000/1/31,21397,CHA
2000/1/31,49680,DHR
2000/1/31,59408,BAC
2000/1/31,21936,PFE
2000/1/31,27430,CTB
2000/1/31,85913,MAR
2000/1/31,85908,GRA
2000/1/31,48514,IKN
2000/1/31,75181,PDG
2000/1/31,84020,RX
2000/1/31,26825,K
2000/1/31,59345,OK
2000/1/31,18542,CAT
2000/1/31,49429,DDS
2000/1/31,77605,BSX
2000/1/31,28847,U
2000/1/31,58246,NTRS
2000/1/31,82643,LXK
2000/1/31,16424,G
2000/1/31,76597,NGH
2000/1/31,12650,KSU
2000/1/31,85631,ADSK
2000/1/31,83462,TUP
2000/1/31,87292,PTV
2000/1/31,21207,NEM
2000/1/31,56573,ITW
2000/1/31,76605,AZO
2000/1/31,15069,MRO
2000/1/31,23229,CMS
2000/1/31,77606,KSS
2000/1/31,44951,SVU
2000/1/31,15667,AHP
2000/1/31,46922,RAD
2000/1/31,20053,SNV
2000/1/31,12431,IR
2000/1/31,66181,HD
2000/1/31,15077,UST
2000/1/31,22111,JNJ
2000/1/31,21792,REI
2000/1/31,48267,LSI
2000/1/31,48274,GAS
2000/1/31,49373,HRB
2000/1/31,86976,CNC
2000/1/31,61399,LOW
2000/1/31,30681,OMC
2000/1/31,24643,AA
2000/1/31,53613,MU
2000/1/31,34746,FITB
2000/1/31,17830,UTX
2000/1/31,23851,CSR
2000/1/31,53612,LDG
2000/1/31,77481,EPG
2000/1/31,79973,GTW
2000/1/31,22947,CIN
2000/1/31,54148,PHM
2000/1/31,18729,CL
2000/1/31,22103,EMR
2000/1/31,60943,LEG
2000/1/31,77768,PX
2000/1/31,66800,AIG
2000/1/31,83332,LU
2000/1/31,53065,IPG
2000/1/31,22613,NCE
2000/1/31,81593,WM
2000/1/31,82647,PNU
2000/1/31,10786,BS
2000/1/31,27887,BAX
2000/1/31,38578,TNB
2000/1/31,11997,CMCSK
2000/1/31,54181,MIL
2000/1/31,76712,AES
2000/1/31,57665,NKE
2000/1/31,64995,KEY
2000/1/31,20626,DOW
2000/1/31,39538,MAT
2000/1/31,12052,GD
2000/1/31,10791,SGI
2000/1/31,64565,CCR
2000/1/31,40061,TEK
2000/1/31,40125,CSC
2000/1/31,76887,AW
2000/1/31,17005,CVS
2000/1/31,28310,UN
2000/1/31,50032,ABS
