caldt,vwretx
2010-01-04,0.015924
2010-01-05,0.003064
2010-01-06,0.000482
2010-01-07,0.003845
2010-01-08,0.002791
2010-01-11,0.001724
2010-01-12,-0.009159
2010-01-13,0.008337
2010-01-14,0.002345
2010-01-15,-0.010745
2010-01-19,0.012443
2010-01-20,-0.010636
2010-01-21,-0.018797
2010-01-22,-0.021873
2010-01-25,0.004527
2010-01-26,-0.004022
2010-01-27,0.004758
2010-01-28,-0.011846
2010-01-29,-0.009678
2010-02-01,0.014001
2010-02-02,0.012777
2010-02-03,-0.005275
2010-02-04,-0.031035
2010-02-05,0.002999
2010-02-08,-0.008813
2010-02-09,0.012893
2010-02-10,-0.002320
2010-02-11,0.009606
2010-02-12,-0.002762
2010-02-16,0.018092
2010-02-17,0.004391
2010-02-18,0.006482
2010-02-19,0.001818
2010-02-22,-0.001000
2010-02-23,-0.012159
2010-02-24,0.009741
2010-02-25,-0.001979
2010-02-26,0.001329
2010-03-01,0.009973
2010-03-02,0.002319
2010-03-03,0.000234
2010-03-04,0.003881
2010-03-05,0.013936
2010-03-08,-0.000006
2010-03-09,0.001904
2010-03-10,0.004638
2010-03-11,0.004235
2010-03-12,-0.000342
2010-03-15,0.000598
2010-03-16,0.007955
2010-03-17,0.005790
2010-03-18,-0.000371
2010-03-19,-0.005295
2010-03-22,0.005291
2010-03-23,0.007262
2010-03-24,-0.005499
2010-03-25,-0.001427
2010-03-26,0.000754
2010-03-29,0.005479
2010-03-30,0.000056
2010-03-31,-0.003333
2010-04-01,0.007266
2010-04-05,0.007991
2010-04-06,0.001781
2010-04-07,-0.005686
2010-04-08,0.003549
2010-04-09,0.006602
2010-04-12,0.001838
2010-04-13,0.000675
2010-04-14,0.011296
2010-04-15,0.000686
2010-04-16,-0.016104
2010-04-19,0.004709
2010-04-20,0.008127
2010-04-21,-0.000917
2010-04-22,0.002358
2010-04-23,0.006918
2010-04-26,-0.004466
2010-04-27,-0.023277
2010-04-28,0.006237
2010-04-29,0.012916
2010-04-30,-0.016712
2010-05-03,0.012920
2010-05-04,-0.023779
2010-05-05,-0.006426
2010-05-06,-0.032346
2010-05-07,-0.015480
2010-05-10,0.043581
2010-05-11,-0.003290
2010-05-12,0.013715
2010-05-13,-0.012125
2010-05-14,-0.018852
2010-05-17,0.001082
2010-05-18,-0.014136
2010-05-19,-0.005224
2010-05-20,-0.038659
2010-05-21,0.014692
2010-05-24,-0.012655
2010-05-25,0.000256
2010-05-26,-0.005784
2010-05-27,0.032785
2010-05-28,-0.012178
2010-06-01,-0.017069
2010-06-02,0.025646
2010-06-03,0.004217
2010-06-04,-0.034799
2010-06-07,-0.013304
2010-06-08,0.010778
2010-06-09,-0.005761
2010-06-10,0.029195
2010-06-11,0.004366
2010-06-14,-0.001718
2010-06-15,0.023311
2010-06-16,-0.000681
2010-06-17,0.001175
2010-06-18,0.001279
2010-06-21,-0.003961
2010-06-22,-0.015976
2010-06-23,-0.003019
2010-06-24,-0.016901
2010-06-25,0.002990
2010-06-28,-0.002304
2010-06-29,-0.031205
2010-06-30,-0.010128
2010-07-01,-0.002970
2010-07-02,-0.004537
2010-07-06,0.005406
2010-07-07,0.031022
2010-07-08,0.009551
2010-07-09,0.007205
2010-07-12,0.000895
2010-07-13,0.015443
2010-07-14,-0.000124
2010-07-15,0.001109
2010-07-16,-0.028730
2010-07-19,0.005957
2010-07-20,0.011014
2010-07-21,-0.012850
2010-07-22,0.022394
